1;Tratador;Peter Park;123.126.731-10;30;O;+;Felinos;-1;1
2;Veterinario;Carol Denvers;431.547.819-18;42;AB;+;Caninos;RN-0235;-1
3;Tratador;Frank Castle;545.291.432-70;24;O;+;Marsupiais;-1;1
4;Veterinario;Bruce Banner;424.129.732-03;25;AB;-;Bovinos;BA-1236;-1
5;Tratador;Clark Kent;941.654.023-99;27;A;-;Equinos;-1;1
6;Veterinario;Diana Prince;863.437.211-04;34;B;+;Caprinos;PA-5473;-1
7;Tratador;Matthew Murdok;824.235.431-89;18;AB;+;Marinhos;-1;1
8;Veterinario;Saori Kido;800.666.999-28;34;O;-;Repteis;PE-4312;-1
9;Tratador;Monica Geller;884.263.778-08;53;O;+;Repteis Venenosos;-1;2
10;Veterinario;Ross Geller;500.100.147-25;73;O;-;Suinos;SP-9432;-1
